generator_id,warehouse_id,voivodeship_code,power_kw,fuel_type,mobility_type,status,lat,lon
GEN-0373,RARS-LUB,06,20,petrol,portable,available,51.25,22.57
GEN-0374,RARS-OLS,28,20,diesel,trailer,maintenance,53.78,20.48
GEN-0375,MSW-BIA,20,80,LPG,trailer,reserved,53.13,23.16
GEN-0376,RARS-POZ,30,20,diesel,portable,available,52.41,16.93
GEN-0377,RARS-OLS,28,12,LPG,portable,available,53.78,20.48
GEN-0378,RARS-POZ,30,12,LPG,portable,available,52.41,16.93
GEN-0379,RARS-POZ,30,20,LPG,trailer,available,52.41,16.93
GEN-0380,RARS-LUB,06,200,diesel,trailer,reserved,51.25,22.57
GEN-0381,RARS-LUB,06,120,LPG,trailer,available,51.25,22.57
GEN-0382,RARS-POZ,30,80,LPG,trailer,reserved,52.41,16.93
GEN-0383,RCB-WAW,14,30,LPG,trailer,available,52.23,21.01
GEN-0384,MSW-BIA,20,8,LPG,portable,reserved,53.13,23.16
GEN-0385,RARS-OLS,28,20,diesel,trailer,available,53.78,20.48
GEN-0386,RARS-OLS,28,50,diesel,trailer,available,53.78,20.48
GEN-0387,MSW-BIA,20,8,diesel,portable,available,53.13,23.16
GEN-0388,RCB-WAW,14,30,diesel,portable,available,52.23,21.01
GEN-0389,RCB-WAW,14,50,petrol,portable,available,52.23,21.01
GEN-0390,RARS-LUB,06,120,diesel,trailer,available,51.25,22.57
GEN-0391,RARS-OLS,28,80,diesel,trailer,available,53.78,20.48
GEN-0392,RARS-OLS,28,8,LPG,portable,available,53.78,20.48
GEN-0393,RCB-WAW,14,200,petrol,trailer,available,52.23,21.01
GEN-0394,RARS-OLS,28,120,LPG,portable,available,53.78,20.48
GEN-0395,RARS-POZ,30,80,LPG,trailer,available,52.41,16.93
GEN-0396,RCB-WAW,14,200,diesel,trailer,available,52.23,21.01
GEN-0397,RCB-WAW,14,30,LPG,portable,available,52.23,21.01
GEN-0398,RCB-WAW,14,200,petrol,trailer,available,52.23,21.01
GEN-0399,RARS-OLS,28,8,petrol,portable,available,53.78,20.48
GEN-0400,RARS-OLS,28,30,LPG,trailer,available,53.78,20.48
GEN-0401,MSW-BIA,20,8,LPG,portable,available,53.13,23.16
GEN-0402,RARS-POZ,30,20,petrol,trailer,available,52.41,16.93
GEN-0403,RARS-POZ,30,8,petrol,portable,available,52.41,16.93
GEN-0404,RARS-POZ,30,200,diesel,portable,available,52.41,16.93
GEN-0405,MSW-BIA,20,8,petrol,portable,available,53.13,23.16
GEN-0406,RARS-OLS,28,12,LPG,portable,available,53.78,20.48
GEN-0407,RCB-WAW,14,30,petrol,trailer,available,52.23,21.01
GEN-0408,MSW-BIA,20,120,diesel,trailer,available,53.13,23.16
GEN-0409,RARS-POZ,30,200,diesel,trailer,reserved,52.41,16.93
GEN-0410,RCB-WAW,14,12,diesel,portable,available,52.23,21.01
GEN-0411,RARS-POZ,30,8,petrol,portable,available,52.41,16.93
GEN-0412,RARS-OLS,28,8,LPG,portable,available,53.78,20.48
GEN-0413,RARS-LUB,06,12,petrol,portable,available,51.25,22.57
GEN-0414,RARS-LUB,06,120,LPG,trailer,available,51.25,22.57
GEN-0415,RCB-WAW,14,50,LPG,trailer,available,52.23,21.01
GEN-0416,MSW-BIA,20,20,diesel,trailer,available,53.13,23.16
GEN-0417,MSW-BIA,20,30,petrol,trailer,available,53.13,23.16
GEN-0418,RARS-POZ,30,50,petrol,trailer,reserved,52.41,16.93
GEN-0419,MSW-BIA,20,120,diesel,trailer,available,53.13,23.16
GEN-0420,MSW-BIA,20,50,diesel,trailer,available,53.13,23.16
